# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
পেনে	আল্লা,ভদকা
পেনের	প্যামফলেট,মতো
পেনোমেন	ভেঞ্চার
পেন্টাগনের	জন্য,ক্ষেত্রফল,পাঁচটি,পাশের,প্রদত্ত
পেন্টিয়াম	নামে,প্রো,করা,প্রসেসর
পেন্ডুলাম	নিচের,স্থাপন,দ্রুত,সামনে,ঘড়ির
পেন্ডুলামটি	ধীর,তার,সবচেয়ে,সামনে
পেন্ডুলামের	দৈর্ঘ্য,সর্বাধিক,গতি
পেন্স	ঘোষণা,তা,নর্থআপ,ধরা
পেন্সি	প্রিপ
পেন্সিল	এবং,ব্যবহার,দিয়ে,বা,স্কুলে
পেন্সিলভেনিয়া	বিশ্ববিদ্যালয়,বিশ্ববিদ্যালয়ে
পেন্সিলের	প্রান্তটি,মতো,সাহায্যে,মাধ্যমে
পেন্সিল্ভেনিয়া	বিশ্ববিদ্যালয়
পেন্সের	মধ্যে,তাৎক্ষনিক,পক্ষে
পেপটাইড	বন্ড,বন্ধন,বন্ধনে
পেপটাইডের	উপস্থিতিতে,তুলনায়,উপস্থিতির
পেপসিন	করে,ধারণ
পেপসোডেন্ট	হল,ইউনিলিভারের,সংস্থা,টুথপেস্ট
পেপার	দিয়ে,ক্লিপ,টেপ,মজুত,পটস
পেপারক্লিপ	দিয়ে,ব্যবহার,পানিতে,কার্যকর
পেপারক্লিপের	জন্য,ক্ষেত্রে
পেপারনি	এবং,বা,পিৎজা,পিজ্জা,টুকরো
পেপারব্যাক	এবং
পেপারমিন্ট	বার্ক,স্বাদের
পেপারিকা	এবং,দিয়ে
পেপারে	মার্ক,মোড়ানো,সিল
পেপ্যাল	এর,প্রক্রিয়া,অ্যাপল,এবং
পেমেন্ট	সিস্টেম,গেটওয়ে,পদ্ধতি,এবং,প্রক্রিয়া
পেমেন্টের	জন্য,মাধ্যমে,বিকল্পগুলি,বিশদ,বিবরণ
পেরি	ইউরোপের,এই
পেরিফেরাল	ডিভাইস,স্নায়ুতন্ত্রের,ধমনী,দৃষ্টি,এবং
পেরিফেরালগুলিকে	সংযুক্ত
পেরিয়ে	গেছে,যাওয়ার,গেলে,নিয়ে,এসে
পেরু	পার্টি,এবং,ভ্রমণে,ও,ইত্যাদি
পেরুতে	এবং,ব্যবহৃত
পেরুভিয়ান	রেস্তোরাঁটি,লোমো
পেরুভীয়	কবি,প্রত্নতত্ত্ববিদ
পেরুর	বর্তমান,রাজধানী,প্রশান্ত,দিকে,বৈচিত্র্যময়
পেরে	খুশি,আনন্দিত,উত্তেজিত,গর্বিত,তিনি
পেরেক	দিয়া,শিল্প,চালানোর,ঠেকানোর,বা
পেরেকের	কারখানা,ব্রাশ,মাথা
পেরেগ্রিন	ফ্যালকনের,হিসাবে,ফ্যালকন
পেরেছি	যে,এটি,যা,কি
পেরেছিল	যে,এবং
পেরেছিলাম	যে,তখন
পেরেছিলেন	যে,এবং,যা,যারা,প্রকৃতির
পেরেছে	তা,বলে,ও,যে,কম্পন
পেরেছেন	তা,যে,বলে
পেরেজ	হলেন,দ্যা
পেরেনস	আয়ান,সালে
পেল	যে,যা,না,তার,যেটি
পেলভিস	ও,পেশী
পেলাম	যে
পেলে	আপনি,তাদের,ছোট,যে,সেটি
পেলেই	পরিবর্তন,বদলে,এদেশের,মুহাম্মাদ
পেলেও	অ,পরবর্তীকালে
পেলেন	যে,এবং,যা,যেটি,যেটিতে
পেলোড	পাঠাতে,বলা,বা,সরবরাহ,কক্ষপথে
পেশ	করা,করেন,করছি,করে,করার
পেশা	হিসেবে,এবং,হিসাবে,গ্রহণ,খুঁজে
পেশাকে	আমাদের,একত্রিত,মহৎ
পেশাগত	জীবনে,উন্নয়ন,এবং,বা,প্রেক্ষাপটে
পেশাগতভাবে	পোশাক,ক্রমবর্ধমান,কাজ,বৃদ্ধি,অনেক
পেশাগুলির	মধ্যে,জন্য
পেশাজীবন	শুরু,পরামর্শসহ
পেশাজীবী	সংস্থা,এবং
পেশাজীবীদের	তাদের,আরও,আগের,দ্বারাই
পেশাটি	স্বাভাবিকের,ভিন্ন,একদিকে
পেশাদার	এবং,সাহায্য,বা,বিকাশের,প্রকৌশলী
পেশাদারকে	তার,এআই,কল
পেশাদারদের	সাথে,জন্য,একটি,কাছ,দ্বারা
পেশাদারভাবে	পোশাক,এটি,যোগাযোগ,উপস্থাপন
পেশাদাররা	তাদের,রোগীর,গণিত,একটি,এমন
পেশাদাররাও	একটি,মিস
পেশাদারি	কুস্তি,ও,কুস্তির,ক্ষেত্রে,পরামর্শ
পেশাদারিকরণে	উল্লেখযোগ্য,অবদান
পেশাদারিত্ব	এবং,প্রদর্শন,প্রতিষ্ঠা,উন্নত,অপরিহার্য
পেশাদারিত্বের	সাথে,সনদ,প্রতিনিধিত্ব,জন্য,বিরোধিতা
পেশাদারী	পদ্ধতির,ভঙ্গিতে,বিশিষ্টতা,এবং,পোষাক
পেশাদারের	সাথে,মতো,সাহায্য,কাছ,নির্দেশনায়
পেশার	নাম,প্রতি,জন্য,একটি,সাথে
পেশায়	পরিণত,নিয়োজিত,কাজ,বা,উৎকর্ষ
পেশি	ও,প্রদর্শনকারী,আবরণী,কম
পেশির	অসাড়তা,ব্যাখ্যা
পেশী	এবং,শক্তি,তৈরি,বৃদ্ধি,ভর
পেশীকে	নমনীয়,প্রসারিত,সংকুচিত
পেশীগুলি	হঠাৎ,অনুশীলন,সংকুচিত,কাঁধের,জয়েন্টটিকে
পেশীগুলিকে	শক্তিশালী,আলগা,নিযুক্ত
পেশীগুলিতে	শক্তি,অক্সিজেন
পেশীগুলির	সাথে,সঠিক
পেশীগুলো	সংকুচিত,ছন্দময়ভাবে,ঢেউ
পেশীতে	সঞ্চিত,টান,ব্যথা,রক্ত,স্ট্রেন
পেশীবহুল	এবং,শরীর,নল,দেহ,পায়ে
পেশীর	ভর,সাথে,মতো,ব্যথা,চাপ
পেষকদন্ত	দিয়ে,না
পেসমেকার	তৈরী,মানব
পেসমেকারগুলোর	তুলনায়,ক্ষেত্রে
পেসা	সার্ভিস,সিস্টেমটি
পেসারি	নিষিদ্ধ,ব্যবহার
পেস্ট	এবং,ব্যবহার,করুন,তৈরি,করার
পেস্টটি	দাগের,অল্প
পেস্টে	চূর্ণ,ভরা
পেস্টের	শক্ত,মূল
পেস্ট্রি	কেস,এবং,পর্যন্ত,কাটার,বা
পেস্ট্রিগুলো	ধরল,উদ্ধার
পেস্ট্রির	মতো,তাজা,গন্ধ
পেস্তা	এবং,বাদাম
পেড়ে	থাকে,ফেলা
পেয়ার	হিসাবে,করা,করার,নেটওয়ার্ক
পেয়ে	আমি,থাকে,যায়,আমরা,থাকেন
পেয়েও	তা,আওয়ামী
পেয়েছি	এবং,তা,তার,যা,তাতে
পেয়েছিল	এবং,যা,যে,তা,তার
পেয়েছিলেন	এবং,যা,যে,তাতে,তখন
পেয়েছিল৷	একটি,উদ্দেশ্যের
পেয়েছে	এবং,যা,এমন,কারণ,তা
পেয়েছেন	এবং,তা,যা,যে,বিজ্ঞানীরা
পৈতৃক	জমি,এবং,সম্পত্তি
পো	ড্যামেরনের,দ্বারা,ড্যামেরন,রেসিস্টেন্সের,কে
পোক	খোলা
পোকা	তাড়ানোর,থেকে,ধরে,বা,আবিষ্কৃত
পোকামাকড়	প্রতিরোধক,এবং,বা,সহ,দেখতে
পোকামাকড়কে	তার,তাদের,রঙ,খাওয়ানোর
পোকামাকড়গুলি	আমাদের
পোকামাকড়ের	জন্য,ঝাঁকুনির
পোকার	ডিম,গুটি,লার্ভার,আক্রমণের,প্রকোপের
পোকেমন	হলো,প্রশিক্ষক,নামটি,ভিডিও,লীগে
পোক্কালি	চাল,ধানের,লবণাক্ততা,চালের
পোচ	করা,সূর্যের,করার
পোচড	স্যামন,সালমন
পোজ	দিতে,করে,দিয়েছিল,বা
পোত	ও,চালান
পোতমধ্যস্থ	অগ্নিকুণ্ড
পোতাশ্রয়	যে,রয়েছে,যা,ব্যবহার
পোতাশ্রয়ে	আবদ্ধ
পোতাশ্রয়ের	গভীরতা,খাদে,পূর্ব,পার্শ্ববর্তী
পোতে	পাল,যাত্তয়া
পোতের	প্রধান,পশ্চাদ্ভাগ
পোনা	পরিবহন,সুন্দরবনের,ও,মাছ
পোনি	ছিল,ড্যাপল
পোপ	অব,রাজ্য,রাজ্যগুলির,ওসবোর্ন,নামে
পোপের	শাসন,আখ্যা,দূত,পদ,সমর্থক
পোভার্টি	ক্লক,অ্যালিভিয়েশন
পোভেগ্লিয়া	ভেনিস,দ্বীপটি,ইতালির,পৃথিবীতে
পোভেগ্লিয়ার	পুরাতন,পৃথিবীর
পোম	ফল,ক্লেমেন্টিএফ
পোমোডোরো	টেকনিক,কৌশল,কৌশলটিও
পোর্ট	ট্রাস্ট,থেকে,এবং,ব্যবহার,ও
পোর্টফোলিও	তৈরি,পরিচালনা,এবং,দেখতে,বা
পোর্টফোলিওকে	বৈচিত্র্যময়,বৈচিত্র্যকরণের
পোর্টফোলিওতে	বিনিয়োগ,বৈচিত্র্য,বিনিয়োগের,স্টক,স্থিতিশীলতা
পোর্টফোলিওর	ভারসাম্য,বৈচিত্র্যের,উপর,তিনটি,বৈচিত্র্য
পোর্টবল	বা
পোর্টসমাউথ	মিউনিসিপাল,বিশ্ববিদ্যালয়ের
পোর্টাল	খোলা,ব্যবহার,একটি,প্রদান,স্থাপন
পোর্টালটি	নতুন,আনলক,আবিষ্কার,গ্রেটজেনবাখ,রাউসের
পোর্টালে	হোঁচট,প্রবেশ
পোর্টালের	মাধ্যমে,মতো,কাছে,মধ্য
পোর্টে	প্লাগ,এবং,ক্যারেক্টার,যুক্ত
পোর্টেবল	গ্রিল,স্পিকার,ডিভাইস,এবং,স্টোভ
পোর্টেবিলিটির	জন্য,প্রয়োজনের
পোর্টের	মাধ্যমে,সাথে,উপর,বার্ষিক,প্রয়োজন
পোর্ট্রেট	ফটো,মোড,এবং,চিত্রায়ন,অফ
পোর্পোইজ	বাদ,সহ
পোর্শ	ও
পোর্শা	মডেলের,সংস্থা,কেম্যান,হয়ে,এবং
পোর্শার	সদর,বর্তমান,প্রধান,নিজস্ব,তৈরি
পোল	বা,এবং,তৈরি,পরিচালনা,ভল্টার
পোলকা	ডট,বিন্দুতে,বিন্দু
পোলার	ভালুক,বিয়ার,এবং,ভাল্লুকের,অণু
পোলারিটি	নির্ধারণ,সহ,দ্বারা
পোলারয়েড	ক্যামেরাও,ল্যান্ড,প্রথম
পোলিও	নির্মূল,এবং,টীকাকরণ
পোলিশ	সমরাজ্যের,গাড়ি,স্বরলিপি,গণিতবিদ,গণিতের
পোলের	সাথে,মাধ্যমে,গায়ে
পোলেস	ভেঙ্গে,অবদান,চালু,পড়ার
পোলো	এবং,চীনে,শার্ট,লেবেলের,বা
পোলোনিয়াম	এবং,বা,আবিষ্কার
পোল্যাণ্ডের	নৃত্যবিশেষ,মুদ্রার
পোল্যান্ড	আক্রমণ,সম্রাজ্যের,এবং,সম্রাজের,জার্মানদের
পোল্যান্ডে	পাওয়া,বৌদ্ধধর্মের,বৌদ্ধধর্ম,জার্মানির,জন্মগ্রহণ
পোল্যান্ডের	দানস্ক,ওয়ারশতে,আউশভিটস,একটি,আক্রমণকে
পোশন	তৈরির,পাঠ্যবইয়ের,ব্যবহার
পোশাক	এবং,পরা,শিল্প,পরুন,পরান
পোশাককে	উজ্জ্বল,পরিমার্জিত,বোঝানো,বাধ্যতামূলক
পোশাকগুলি	দেখাতে,আরও,বাইরের
পোশাকগুলিতে	নিজের,এই
পোশাকটি	ঋতুর,ছিল,হাঁটু,মূল,প্রধানত
পোশাকটিতে	ভারসাম্য,একটি
পোশাকে	একটি,থাকা,দেখা,রঙের,মাত্রা
পোশাকের	সাথে,জন্য,একটি,দোকান,আইটেমগুলির
পোষক	প্রাণীর,স্তর
পোষণ	করে,করেন,করা,করলে,করবে
পোষণকারী	দুই,দুটি
পোষণের	উৎস,জন্য
পোষা	প্রাণী,প্রাণীর,প্রাণীদের,প্রাণীকে,প্রাণীরা
পোষাক	কোড,এবং,প্যান্ট,দিয়ে,পরা
পোষাকি	রূপ,নাম
পোষাকে	পাওয়া,তারকা
পোষার	সহজ,ফলে,মত
পোষ্ট	অফিসের,করেছিল,মর্টেম
পোষ্য	ব্যবসার,হতে,পুত্র
পোসেইডন	চরিত্রে,হিপ্পিয়োস
পোস্ট	লিখুন,তৈরি,করার,এবং,করা
পোস্টকার্ড	বা,ডিজাইন,পাঠাতে
পোস্টকার্ডের	সামনে,পিছনে,জন্য,মাধ্যমে
পোস্টকে	দৃষ্টিকটু,নিম্নোক্ত,পতাকাঙ্কিত,একবার
পোস্টগুলি	ভাগ,তৈরি,আগে,প্রচার,আপনার
পোস্টগুলিতে	ছবি,নজরকাড়া
পোস্টগুলির	লিঙ্কগুলি,ফ্রিকোয়েন্সি
পোস্টটি	আলোচনা,সুস্থ,ভাগ,বাক্যে,আজকের
পোস্টটিকে	আরও,একটি,সাইবার
পোস্টফিক্স	নোটেশনে,স্বরলিপি
পোস্টার	ডিজাইন,তৈরি,এবং,গঠনের,সহ
পোস্টারগুলিতে	পাওয়া,প্রায়ই,ছোট
পোস্টারটি	দেখতে,যদি,দৃশ্যমানভাবে,নজরকাড়া,শক্তিশালী
পোস্টারটিতে	একটি,প্রধান
পোস্টারে	অন্তর্ভুক্ত,মেরু,ভিড়,একটি,বিশিষ্ট
পোস্টারের	নীচে,পটভূমি,উপরের,ডিজাইনের,একপাশে
পোস্টাল	কোড,কংগ্রেস,ক্যাশ
পোস্টে	একটি,মন্তব্য,সংহত,সাধারণত,সাড়া
পোস্টের	জন্য,শিরোনাম,মূল,আদর্শ,একটি
পোস্ত	বীজ,গাছের,তুলে,দানা
পোড়া	এবং,থেকে,বা,ক্যালোরিগুলিও,ক্ষেতের
পোড়াইয়া	ছাই
পোড়াতে	এবং,পারে,চাই,সাহায্য
পোড়ানো	এবং,হয়,থেকে,ক্ষতিকারক,ক্যালোরির
পোড়ানোর	ফলে,কারণে,মতো,মাধ্যমে,উপর
পোড়ামাটির	সৈন্যবাহিনী,তৈরি,তৈরী,খন্ডিত,বল
পোড়ার	সাথে,ঝুঁকি,মাধ্যমে,কারণ,জন্য
পোয়া	ও
পোয়াঁকারে	শ্রেণীর,অনুমান
পোয়াতির	শয্যায়
পৌঁছতে	পারে,চান,এখনও,পারতাম,বেশি
পৌঁছবে	বলে,কেন্দ্রীয়
পৌঁছা	পর্যন্ত,সেখানে
পৌঁছাতে	পারে,এবং,সাহায্য,পারেন,সক্ষম
পৌঁছান	এবং,যেখানে,যে,ততক্ষণ,বা
পৌঁছানো	পর্যন্ত,এবং,বা,হয়,যেতে
পৌঁছানোর	জন্য,এবং,সাথে,পর,অনুমতি
পৌঁছাবে	যেখানে,যখন,এবং,বলে
পৌঁছাবেন	তা
পৌঁছালে	সেটির,তা
পৌঁছায়	এবং,বা,তা,না,তখন
পৌঁছে	গেলে,দিতে,যায়,দেওয়া,দেওয়ার
পৌঁছেছি	যে,এবং,যেখানে,তা,তার
পৌঁছেছিল	এবং,যেখানে,যেটি,যা,সালের
পৌঁছেছিলেন	যেখানে,এবং,যা
পৌঁছেছে	তা,যে,এবং,তার,ভোক্তা
পৌঁছেছেন	এবং,তা,যে,তাদের
পৌঁছেন	এবং,যেখানে
পৌছতে	লেগেছিলো,বিলম্ব
পৌছাতে	পারে,উবুন্টুতে
পৌছায়	না,লাখে,বলে,এটি,নিম্ন
পৌছে	এসিড,দেয়,গিয়েছে,ধর্মঘটের,দেওয়া
পৌত্র	হৃদয়েশ,বিশ্বামিত্র,মলয়
পৌনঃপুনিক	নিউরাল,ব্যয়,নকশা,বিষয়বস্তু,আত্ম
পৌর	ক্রীড়াবিশেষ,এলাকাতে,কর্তৃপক্ষকে,প্রতিষ্ঠান,আইন
পৌরমুখ্যের	মনোনয়নকেন্দ্র,পদ
পৌরসভা	এবং,ও,থেকে,প্রদত্ত,বিটকয়েন
পৌরসভার	বিশেষ,জলের,নিকাশী,বাজেটও,মোট
পৌরাণিক	কাহিনী,প্রাণী,কাহিনীর,কাহিনীতে,দেবদেবীর
পৌরানিক	আদিমাতা,পট,বিভিন্ন
পৌরুষ	মনোভাব,বা
পৌরুষপূর্ণ	ব্যক্তি
পৌষ	সংক্রান্তি,মাসের,ও,মেলা,পার্বণ
প্যাঁচ	খুলতে,বা,কম
প্যাঁচানো	থাকে,কিন্তু,সূত্রক
প্যাঁচে	তৈরি
প্যাক	করুন,করা,করার,করে,করতে
প্যাকটি	ঘোরাঘুরি,অনেক
প্যাকড	সুপারহিরো,এবং,সিনেমাগুলি,অ্যাডভেঞ্চার
প্যাকম্যান	প্যাকেজ,ব্যবহার,সংস্করণের,এর,প্রোগ্রামটি
প্যাকার্ড	এইচপি,ইন্জ্ঞিনিয়ারদের
প্যাকার্ডের	প্রথম
প্যাকেজ	নির্দেশাবলী,করা,ম্যানেজার,এবং,অফার
প্যাকেজকে	একটি,তাদের
প্যাকেজগুলি	খুঁজে,সরবরাহ,সরাতে,সম্পর্কে,প্রদর্শন
প্যাকেজগুলির	একটি,মাধ্যমে,জন্য,সাথে
প্যাকেজগুলো	সেখানে,বর্তমান,ডেবিয়ান,উবুন্টুতে
প্যাকেজগুলোর	ব্যবস্থাপনা,সর্বশেষ
প্যাকেজটি	ফেলে,টেবিলে,পেয়েছি,খুললেন,তাদের
প্যাকেজসমূহ	এখানে,যাতে,থাকে,ব্যবস্থাপনার,সম্ভবত
প্যাকেজে	আপনার,প্যাকেজ,ডেস্কটপ,প্রস্তাবিত,বিভিন্ন
প্যাকেজের	জন্য,নির্দেশাবলী,নম্বর,মাধ্যমে,ভিতরে
প্যাকেট	হল,আকার,নেটওয়ার্ক,ধারণাটিকে,ক্যান্ডি
প্যাকেটগুলি	আগে,প্রায়ই,প্যাকেটের,নিয়ন্ত্রণ
প্যাকেটগুলিকে	তাদের,রুট,নেটওয়ার্কে
প্যাকেটজাত	খাবার,খাবারের,পণ্য,খাবারে,করে
প্যাকেটে	টি,অনুরোধ,ভেঙে,উন্নতি,ভাঙ্গা
প্যাকেটের	মধ্যে,মতো,আকার,ডেলিভারি,মুক্তির
প্যাকের	রাজপুত্র,প্রয়োজন,আকার,জন,মধ্যে
প্যাক্ট	একটি,চুক্তিটি
প্যাক্স	রোমানা,রোমানার
প্যাঙ্গোলিন	একটি,এশিয়া
প্যাচ	এবং,করা,থেকে,হিসাবে,রয়েছে
প্যাচগুলি	নিশ্চিত,অন্তর্ভুক্ত,ডাউনলোড
প্যাচের	সাথে,মাঝখানে,মালিক,বাইরে,প্যাটার্নযুক্ত
প্যাট	প্রদান,পার্কার
প্যাটার	বিশৃঙ্খলা,হিসাবে
প্যাটার্ন	এবং,সনাক্ত,অনুসরণ,বা,শনাক্ত
প্যাটার্নকে	বোঝায়,সংজ্ঞায়িত,প্রতিনিধিত্ব
প্যাটার্নগুলি	সনাক্ত,চিনতে,খুঁজে,উন্মোচন,শিখতে
প্যাটার্নগুলিকে	আরও,সাধারণীকরণ
প্যাটার্নগুলির	উপর,সম্মুখীন
প্যাটার্নটি	অ্যাঙ্করের,গাণিতিক,পরেরটি,ক্যাপিটাল,উপস্থাপন
প্যাটার্নযুক্ত	ডানার,একটি,নকশার
প্যাটার্নে	সাজানো,অনুপস্থিত,আলো,তীব্র,লাগ
প্যাটার্নের	মতো,সাথে,পরিবর্তন,পরিবর্তনের,সংস্পর্শে
প্যাটেন্ট	কিনে,নিবন্ধন,বাতিল,নিবন্ধনের
প্যাটেল	ছিলেন,এবং
প্যাট্রিক	অলিভেল,রথফাস,এবং,হ্যারিস,ব্ল্যাকআল
প্যাট্রিসিয়া	ক্লার্কসন,পার্কার
প্যাট্রিয়ট	ক্ষেপণাস্ত্রের,ডিফেন্স
প্যাট্রোনাস	সৃষ্টি,হরিণীর
প্যাট্রোল	সালে,স্টাডি,নৌকা,থেকে
প্যাড	বা,এবং,থেকে,হিসেবে,দ্বারা
প্যাডগুলি	সাধারণত,প্রায়শই
প্যাডে	বিশ্রামে,সেট,ঘুমিয়ে,জ্বলজ্বল,লাগলে
প্যাডেড	জ্যাকেট,সিট,হ্যাঙ্গার,এবং
প্যাডের	মতো,উপর,মত
প্যাডেল	করে,ব্যবহার,করতে,ছিল,যোগ
প্যাডেলে	তার,টিপুন,চাপ
প্যাডেলের	উপর,মতো,সমন্বয়ে
প্যাথলজি	সহ,স্লাইড,এবং,থমাস
প্যাথোজেন	পরোক্ষভাবে,দীর্ঘ,বহন,থেকে,বা
প্যাথোজেনের	একটি,জন্য,জিনগত
প্যাথোলজিশ্চে	অ্যানাটমি
প্যান	থেকে,গরম,বা,মাঝারি,গ্রীস
প্যানকে	প্রচার,বোঝায়,ধরে
প্যানকেক	পরিবেশন,তৈরি,রেসিপি,উপভোগ,মিশ্রণের
প্যানকেকগুলি	প্রতিটি,সরান,তৈরি,উপরে
প্যানকেকগুলিকে	প্রায়,স্বাভাবিক,ম্যাপেল
প্যানকেকের	জন্য,টুকরোগুলো,স্কিললেটে
প্যানক্রাস	থেকে,পাতাল,আন্তর্জাতিক
প্যানগুলি	এক,শুধুমাত্র
প্যানটি	সরান,ওভেনে,প্রিহিটেড,মাঝারি,প্রস্তুত
প্যানটিকে	প্রিহিটেড,আলতো
প্যানথিয়ন	এবং,দেখেছেন
প্যানদের	কাছে,ক্ষেত্রে
প্যানপ্যান	করা
প্যানমিকটিক	মূলের,বলা,এর
প্যানাম্যাক্স	এবং,জাহাজের,শ্রেণীর,শ্রেণী,জাহাজ
প্যানিক	বোতাম
প্যানিয়ার	র্যাক,ব্যাগ
প্যানে	ব্যাটার,অলিভ,রান্না,ঢেলে,কাটা
প্যানের	নীচে,উপর,বাইরে,চারপাশে,জন্য
প্যানেল	ইনস্টল,এবং,বা,ব্যবহার,স্থাপন
প্যানেলগুলি	কম,শক্তি,প্রায়,শুধুমাত্র,ইনস্টল
প্যানেলগুলির	এখন,কম,নিয়মিত,ন্যূনতম,পৃথকীকরণ
প্যানেলটি	ব্যবহার,সরান,ধরে,বন্ধ,প্রতিস্থাপন
প্যানেলে	একটি,বিভক্ত,ঢালাই,নভোচারীরা,দুই
প্যানেলের	কার্যকারিতা,কাজ,তুলনায়,আকারে,মতো
প্যানোপটিকন	দালান,ছিল
প্যানোরামিক	দৃশ্য,কাচের,ল্যান্ডস্কেপ
প্যান্ট	বা,মানেই,বেছে,একটি,এবং
প্যান্টে	কাজ,একটি,যা
প্যান্টের	দিকে,বাটন,যেন,রয়েছে
প্যান্ট্রি	আইটেম,থেকে,অ্যাপেটাইজারের,এবং,সিস্টেম
প্যান্ট্রিতে	তাদের,সঠিকভাবে
প্যান্ডোরার	সুন্দর,বাস্তুতন্ত্রকে,সৌন্দর্য,লোভনীয়
প্যান্থার	রাস্তায়,কবচ,একটি,চলচ্চিত্র,আবহ
প্যান্থিয়নে	তার,সমাহিত
প্যাপাল	বর্ষপঞ্জির
প্যাপিরাস	উদ্ভিদের,এবং
প্যাভিলিয়ন	আছে,ও
প্যারা	সন্দেশ,কমান্ডো,সন্দেশের,নামের,দোকান
প্যারাকমান্ডো	ব্যাটালিয়ন
প্যারাডক্স	তৈরি,এমন,টেকসই,মডেলে
প্যারাডাইম	যা,শিফট,শিফ্ট,ব্যবহার,বিভিন্ন
প্যারাডাইস	লস্ট
প্যারাফ্রেজ	করুন,করা,করার,করবেন,এবং
প্যারাবোলা	উপরের,বইতে
প্যারাবোলার	শীর্ষবিন্দু,বক্ররেখার
প্যারাবোলিক	ট্রাজেক্টোরি,পথ
প্যারামাউন্ট	থিয়েটারের,পিকচার্সের,পিকচার,পিকচার্স
প্যারামিটার	হিসাবে,ব্যবহার,নেয়,সামঞ্জস্য,সহ
প্যারামিটারগুলি	সামঞ্জস্য,সংজ্ঞায়িত,টিউন,অনুমান,দেয়
প্যারামিটারাইজড	কোয়েরি,প্রশ্নগুলি
প্যারামিটারে	লাগে,সংখ্যাগুলিকে
প্যারামিটারের	উপর,সংখ্যা,সর্বোত্তম,বিশাল,মানগুলি
প্যারালাইসিস	বা,রোগে
প্যারালাল	নামে,পোর্ট,লাইভস,কম্পিউটার
প্যারাশূটের	সাহায্যে
প্যারাসাইট	ফিল্ম,আলাদা,একটি
প্যারাসুট	কোট,ডিজাইন
প্যারিশের	অধিবাসী
প্যারিস	চুক্তি,জলবায়ু,যেতে,থেকে,এয়ার
প্যারিসীয়	সংস্কৃতি,ম্যাগাজিন
প্যারিসে	অবস্থিত,অনুষ্ঠিত,একটি,জুন,ফিরে
প্যারিসের	ল্যুভর,একটি,আবহাওয়া,ইকোল,একদল
প্যারেটো	নীতির,নীতি
প্যারেড	সমগ্র,বলা,একটি,করেছে,রয়েছে
প্যারেডের	শিকড়,আয়োজন
প্যারেন্ট	নোড,সেলের,নিউক্লিয়াসের
প্যারোল	ছাড়াই,করা
প্যারোলের	সম্ভাবনা,পরে
প্যালাডিয়াম	এবং
প্যালিওন্টোলজি	এবং
প্যালিওলিথিক	যুগে,বা
প্যালিনড্রোম	কিনা,খুঁজে,খুঁজুন,রেসকার,নয়
প্যালিনড্রোমগুলি	খুঁজে,হল
প্যালিনড্রোমিক	সংখ্যা,সংখ্যার,খুঁজুন,হওয়া,হল
প্যালিন্ড্রোম	কারণ,হল,এমন
প্যালিন্ড্রোমিক	সংখ্যা,সংখ্যার,রিপিটস
প্যালেট	ব্যবহার,ছুরি,এবং,দেওয়া,নরম
প্যালেটটি	সম্পূর্ণ,সাহসী,সবুজ,নীল,নরম
প্যালেটে	শক্তি,নীল
প্যালেটের	ভারসাম্য,প্রথম,রঙের,কেন্দ্রে
প্যালেস	হোটেল,অব,ঘুরে,হল,টি
প্যালেসে	তাদের,রক্ষিত
প্যাসকেল	সর্বপ্রথম,পর্যন্ত,সলিড
প্যাসকেলের	যন্ত্রের,ত্রিভুজ
প্যাসিফিক	অঞ্চলের,এবং,দ্বীপবাসীর,ইয়ু,নেভাল
প্যাসিফিকের	একটি,ভারতীয়
প্যাসিভ	ভয়েস,ভয়েসে,থেকে,কণ্ঠে,ইনকাম
প্যাসেজ	দেওয়া,লিখুন,থেকে,পুনরায়,তৈরি
প্যাসেজগুলি	ভাইরাস,বোঝার
প্যাসেজটি	সংক্ষিপ্ত,সম্পাদনা,পুনরায়,সংকুচিত,প্রযুক্তির
প্যাসেজটিকে	একটি,ফিকশন,তিনটি,আরও
প্যাসেজে	সবচেয়ে,ব্যবহৃত,উল্লিখিত,বিষয়বস্তু,গল্পের
প্যাসেজের	জন্য,সবচেয়ে,সারসংক্ষেপ,মূল,দৃষ্টিকোণটি
প্যাস্টেল	ছায়া,টোন,টোনগুলির,গোলাপী,রঙের
প্যাস্ট্রি	এবং,কাটার
প্রকট	করা,হয়ে,বা,শ্বাসকষ্ট,আকারে
প্রকটিত	হয়ে,করা
প্রকম্পিত	করা
প্রকরণ	এবং,নেই,হল,ডেটা,গণনা
প্রকরণটি	গণনা,হ
প্রকরণের	বর্গমূল,মতো,ধারণা,কারণে,বিশেষ
প্রকরন	সালে,ছিল
প্রকরনের	চেয়ে,টি
প্রকল্প	পরিচালনা,পরিচালনার,বা,এবং,তৈরি
প্রকল্পকে	অনুপ্রাণিত,প্রভাবিত
প্রকল্পগুলি	পরিচালনা,সম্পূর্ণ,তৈরি,পরীক্ষা,সরবরাহ
প্রকল্পগুলিও	কখনও,একজন
প্রকল্পগুলিকে	সমর্থন,তালিকা,সহজতর,ছোট,ত্বরান্বিত
প্রকল্পগুলিতে	কাজ,বিনিয়োগ,সহযোগিতা,একসাথে,তাদের
